iter	RMSE
0	1275.649845
1	1227.494313
2	1182.650255
3	1140.231001
4	1100.575363
5	1063.295908
6	1028.495655
7	995.7891075
8	965.177862
9	936.4639482
10	909.5331141
11	884.7463463
12	861.3856926
13	839.6145832
14	819.5038026
15	800.6961598
16	783.2088368
17	767.0349326
18	752.0117788
19	738.0445412
20	725.1820472
21	713.2384665
22	702.2503852
23	691.9723119
24	682.6305773
25	673.9546687
26	665.936656
27	658.5786858
28	651.6846663
29	645.388151
30	639.6272915
31	634.2637693
32	629.2698545
33	624.7203266
34	620.5561459
35	616.7327286
36	613.1853249
37	609.9366377
38	607.015148
39	604.2227859
40	601.7705032
41	599.3061623
42	597.0252882
43	595.0517666
44	593.1204425
45	591.4158014
46	589.8639015
47	588.2691315
48	586.8298871
49	585.6129811
50	584.4296238
51	583.3032871
52	582.2842123
53	581.390831
54	580.4738115
55	579.4857099
56	578.7656479
57	577.9754872
58	577.3001569
59	576.5095694
60	575.8910974
61	575.3476047
62	574.7800237
63	574.1474457
64	573.6979517
65	573.1706227
66	572.7747221
67	572.3487531
68	571.8904405
69	571.52214
70	571.1129172
71	570.6824792
72	570.3232998
73	570.0832217
74	569.7585292
75	569.39535
76	569.0936147
77	568.6825568
78	568.3323008
79	568.0446568
80	567.7908569
81	567.5111686
82	567.284986
83	567.0323823
84	566.7539025
85	566.5305006
86	566.3147981
87	566.0858484
88	565.7780024
89	565.5637942
90	565.4412517
91	565.2233082
92	565.0476348
93	564.771136
94	564.5352803
95	564.4024264
96	564.1532579
97	564.0136723
98	563.7962745
99	563.584452
100	563.4037764
101	563.2349403
102	563.0959861
103	562.9783073
104	562.7799247
105	562.6004419
106	562.3793547
107	562.2452666
108	562.0780992
109	561.9265651
110	561.7467219
111	561.5386678
112	561.3828059
113	561.1605122
114	561.028099
115	560.8850668
116	560.7412305
117	560.6365627
118	560.5373115
119	560.4493512
120	560.3433343
121	560.2289586
122	560.1304712
123	559.9966582
124	559.8711778
125	559.7237628
126	559.5693634
127	559.4330594
128	559.3744797
129	559.286443
130	559.1637138
131	557.8046449
132	557.6501362
133	557.5156811
134	556.4812277
135	556.3494719
136	556.2206023
137	556.1036087
138	554.7958077
139	554.6799562
140	554.5653788
141	554.471852
142	554.3459153
143	554.2377194
144	554.1590223
145	554.0345003
146	553.9157196
147	553.8197614
148	553.6634297
149	552.4817851
150	552.3069333
151	551.117745
152	551.0256091
153	550.9367015
154	550.8426644
155	550.6603969
156	550.5124235
157	550.3906798
158	550.3359148
159	550.2418726
160	550.1788629
161	550.0349281
162	549.9482308
163	549.7808894
164	549.6952672
165	549.5886756
166	549.5257527
167	549.4431159
168	549.3411867
169	549.2142774
170	549.1325722
171	549.0033411
172	548.928973
173	548.7917291
174	548.7622408
175	548.6770816
176	548.6016405
177	548.4095982
178	548.046051
179	547.9797219
180	547.8854459
181	547.7415245
182	547.6704371
183	547.490435
184	547.3397664
185	547.2739694
186	547.165906
187	547.0830428
188	547.0038679
189	546.932136
190	546.8550218
191	546.8059155
192	546.6875064
193	546.5791283
194	546.5014999
195	546.3853885
196	546.3302866
197	546.1821276
198	546.1225674
199	546.0677235
200	545.9693363
201	545.9248476
202	544.7925663
203	544.7276227
204	543.9616164
205	543.816667
206	543.7520516
207	543.21415
208	542.1148206
209	541.9779395
210	541.8687461
211	541.8173449
212	541.7621748
213	541.6554277
214	541.5634592
215	541.4279548
216	541.3127949
217	541.2399734
218	541.12544
219	540.013509
220	539.9117471
221	539.8628605
222	539.8171717
223	539.7340629
224	539.682003
225	539.5717954
226	539.5177109
227	539.4638727
228	539.3731082
229	539.3171688
230	538.262387
231	538.2153709
232	538.1524677
233	538.0536539
234	538.0298257
235	537.981916
236	537.8919809
237	536.8550044
238	536.7674508
239	536.6815713
240	536.6331525
241	536.5320605
242	536.4151621
243	536.3418853
244	536.258405
245	536.1927471
246	536.1141065
247	536.0606976
248	535.9973832
249	535.9584524
250	535.8693583
251	535.8219432
252	535.7788358
253	535.7135393
254	535.6492676
255	535.5475666
256	535.4596488
257	535.4268414
258	535.3490037
259	535.2544382
260	535.2036067
261	534.4158563
262	534.3043276
263	534.2113693
264	534.1604274
265	534.1014712
266	533.9971155
267	533.9580607
268	533.9180167
269	533.8326486
270	533.7592179
271	533.6750127
272	533.617299
273	532.9814704
274	532.9071155
275	532.885125
276	532.7946875
277	532.7276236
278	532.6684362
279	532.6350298
280	532.5818563
281	532.5227522
282	532.4659321
283	532.4012233
284	532.2754037
285	532.2471756
286	532.1596418
287	532.1145752
288	532.006185
289	531.930709
290	531.8934422
291	531.8134419
292	531.7823246
293	531.7073578
294	531.6392599
295	531.6056328
296	531.5637548
297	531.5227482
298	531.4787529
299	531.3811721
